#-t-Fk-Fk2-stdev-sterr
0.000000 1.0000000000 -nan -nan
16000.000000 0.6931724785 0.1331673906 0.0213238484
17000.000000 0.6817721332 0.1244592543 0.0199294306
18000.000000 0.6689969002 0.1266185503 0.0202751947
19000.000000 0.6626896783 0.1462893482 0.0234250433
20000.000000 0.6598240032 0.1335937753 0.0213921246
21000.000000 0.6599830588 0.1319450507 0.0211281174
22000.000000 0.6567282277 0.1372817981 0.0219826809
23000.000000 0.6432309504 0.1302854760 0.0208623727
24000.000000 0.6433467920 0.1625573306 0.0260300052
25000.000000 0.6525745537 0.1454707107 0.0232939563
26000.000000 0.6522633568 0.1494280953 0.0239276450
27000.000000 0.6480360376 0.1619182796 0.0259276752
28000.000000 0.6425345835 0.1711725048 0.0274095372
29000.000000 0.6417312972 0.1661985215 0.0266130624
30000.000000 0.6461746486 0.1659937207 0.0265802680
31000.000000 0.6407388717 0.1777779368 0.0284672528
32000.000000 0.6314380826 0.1597848825 0.0255860582
33000.000000 0.6195636388 0.1742545185 0.0279030543
34000.000000 0.6079853273 0.1762472068 0.0282221398
35000.000000 0.6046319684 0.1897217519 0.0303797939
36000.000000 0.5929678975 0.1925157511 0.0308271918
37000.000000 0.5750935729 0.1864492521 0.0298557745
38000.000000 0.5593778865 0.1961665939 0.0314117945
39000.000000 0.5556883613 0.2063536404 0.0330430275
40000.000000 0.5474093996 0.2056306603 0.0329272580
41000.000000 0.5338520335 0.2103995715 0.0336908949
42000.000000 0.5406966935 0.2085438240 0.0333937375
43000.000000 0.5482566855 0.2296982358 0.0367811544
44000.000000 0.5367671176 0.2401290043 0.0384514141
45000.000000 0.5165104465 0.2417993538 0.0387188841
46000.000000 0.5186826071 0.2378396794 0.0380848288
47000.000000 0.5170286911 0.2449841795 0.0392288644
48000.000000 0.5022404229 0.2464697314 0.0394667431
49000.000000 0.5137659531 0.2307528215 0.0369500233
50000.000000 0.4909895611 0.2331561730 0.0373348675
51000.000000 0.4974101240 0.2324684165 0.0372247384
52000.000000 0.4963015150 0.2210210655 0.0353916952
53000.000000 0.5058218803 0.2304333418 0.0368988656
54000.000000 0.4925029189 0.2200020881 0.0352285282
55000.000000 0.4829544141 0.2341542597 0.0374946893
56000.000000 0.4755258152 0.2261024848 0.0362053735
57000.000000 0.4718084002 0.2384504199 0.0381826255
58000.000000 0.4812025643 0.2192577027 0.0351093311
59000.000000 0.5018617247 0.2356541523 0.0377348643
60000.000000 0.4981051121 0.2183507716 0.0349641059
61000.000000 0.4883298274 0.2323563481 0.0372067930
62000.000000 0.4937512181 0.2422671049 0.0387937842
63000.000000 0.5039108863 0.2430657676 0.0389216726
64000.000000 0.4889824626 0.2277492536 0.0364690675
65000.000000 0.4805796915 0.2228916789 0.0356912330
66000.000000 0.4821725780 0.2318701085 0.0371289324
67000.000000 0.4872607305 0.2261621814 0.0362149326
68000.000000 0.4700307446 0.2333478345 0.0373655579
69000.000000 0.4827856787 0.2401369051 0.0384526793
70000.000000 0.4809859837 0.2479780978 0.0397082750
71000.000000 0.4708814986 0.2534435293 0.0405834444
72000.000000 0.4706738964 0.2557986560 0.0409605665
73000.000000 0.4495705269 0.2510988118 0.0402079892
74000.000000 0.4281014684 0.2530211544 0.0405158103
75000.000000 0.4126556454 0.2676980796 0.0428659993
76000.000000 0.3984934945 0.2608214157 0.0417648518
77000.000000 0.3811376319 0.2589397185 0.0414635391
78000.000000 0.3915816955 0.2606157045 0.0417319116
79000.000000 0.3812964472 0.2628745582 0.0420936177
80000.000000 0.3869014721 0.2692003308 0.0431065520
81000.000000 0.3796016522 0.2737283294 0.0438316120
82000.000000 0.3874418856 0.2798621870 0.0448138153
83000.000000 0.3866990308 0.2850496545 0.0456444749
84000.000000 0.3773838020 0.2926307445 0.0468584209
85000.000000 0.3724976734 0.2955315549 0.0473229223
86000.000000 0.3671154072 0.3036975473 0.0486305276
87000.000000 0.3646700780 0.3184707717 0.0509961367
88000.000000 0.3591960680 0.3244443019 0.0519526671
89000.000000 0.3635500272 0.3351104045 0.0536606104
90000.000000 0.3644477317 0.3243477835 0.0519372118
91000.000000 0.3551420805 0.3050984033 0.0488548441
92000.000000 0.3517544232 0.3141287917 0.0503008635
93000.000000 0.3603843278 0.3076152296 0.0492578588
94000.000000 0.3571601024 0.3093324576 0.0495328353
95000.000000 0.3415729161 0.3146849567 0.0503899211
96000.000000 0.3282608296 0.3026636393 0.0484649698
97000.000000 0.3421236095 0.3027042641 0.0484714750
98000.000000 0.3511774122 0.3096055542 0.0495765658
99000.000000 0.3384918485 0.3233277459 0.0517738750
100000.000000 0.3338118972 0.3200898640 0.0512553990
101000.000000 0.3440777835 0.3180781347 0.0509332645
102000.000000 0.3542831037 0.3100875369 0.0496537448
103000.000000 0.3330911434 0.3225089470 0.0516427623
104000.000000 0.3175271568 0.3467090805 0.0555178850
105000.000000 0.3129266865 0.3379120488 0.0541092325
106000.000000 0.3074051995 0.3393782151 0.0543440070
107000.000000 0.3048490331 0.3397277863 0.0543999832
108000.000000 0.3119089405 0.3321697663 0.0531897314
109000.000000 0.3076547640 0.3254419315 0.0521124157
110000.000000 0.3223048635 0.3298622793 0.0528202378
111000.000000 0.3225184555 0.3458012885 0.0553725219
112000.000000 0.3167797654 0.3387307008 0.0542403218
113000.000000 0.3069059722 0.3512030477 0.0562374956
114000.000000 0.3058869537 0.3420911723 0.0547784279
115000.000000 0.3027658515 0.3329632736 0.0533167943
116000.000000 0.3110824576 0.3419822524 0.0547609867
117000.000000 0.3112717287 0.3559971032 0.0570051589
118000.000000 0.2895890134 0.3767851136 0.0603339046
119000.000000 0.3111601546 0.3681696147 0.0589543207
120000.000000 0.2986166834 0.3670655807 0.0587775338
121000.000000 0.2982533720 0.3632730465 0.0581702423
122000.000000 0.2906931568 0.3712894846 0.0594538997
123000.000000 0.2824920594 0.3735971744 0.0598234258
124000.000000 0.2787613336 0.3772134640 0.0604024956
125000.000000 0.2802876414 0.3729729518 0.0597234702
126000.000000 0.2867509976 0.3642806679 0.0583315908
127000.000000 0.2642289085 0.3575248735 0.0572497979
128000.000000 0.2663289643 0.3691693617 0.0591144083
129000.000000 0.2663973714 0.3846875616 0.0615993090
130000.000000 0.2494793660 0.3696153118 0.0591858175
131000.000000 0.2542414387 0.3781787848 0.0605570706
132000.000000 0.2555231407 0.3769543347 0.0603610017
133000.000000 0.2644282881 0.3774922880 0.0604471432
134000.000000 0.2684970100 0.3737369281 0.0598458043
135000.000000 0.2580368875 0.3708553151 0.0593843769
136000.000000 0.2611205959 0.3783080924 0.0605777764
137000.000000 0.2585139265 0.3758211699 0.0601795501
138000.000000 0.2632747277 0.3781989698 0.0605603028
139000.000000 0.2608208302 0.3822280463 0.0612054714
140000.000000 0.2559372800 0.3854940396 0.0617284489
